Ano,Localização,Rede,Total - EF,1EF,2EF,3EF,4EF,5EF,6EF,7EF,8EF,9EF,Total - EM,1EM,2EM,3EM,4EM,Não-Seriado
2020,Total,Total,98.2,98.3,98.6,98.4,98.7,98.5,97.6,97.7,97.9,97.8,95,94.1,95.8,95.5,85.7,91.2
2019,Total,Total,92.8,98.5,97.5,91.4,94.1,94.7,87.9,89.1,91,92.3,86.1,80.5,87.3,92.5,88.9,85.1
2018,Total,Total,91.5,98.1,97.4,89.9,92.9,93.6,85.8,87.1,89.3,90.6,83.4,76.7,85,90.5,87.6,81
2017,Total,Total,91,98,97.2,89.5,92.8,93.1,84.5,86.5,88.7,89.6,83.1,76.4,84.7,90.5,85.2,84.5
2016,Total,Total,89.8,97.8,96.9,88.4,91.7,92,82.8,84.9,86.8,88.3,81.5,74.1,83.2,89.7,86,84.7
2015,Total,Total,89.9,97.7,96.8,88.5,91.7,92.1,82.9,84.6,87.3,88.6,81.7,74.6,83.6,89.5,87.7,84.2
2014,Total,Total,89.2,97.5,96.3,87.8,91.2,91.7,81.6,84.2,86.4,87.5,80.3,73.5,81.9,88.4,87.8,84.5
2013,Total,Total,89.3,97.4,95.8,88.5,91.6,91.2,82.2,84.5,86.8,87.6,80.1,73.2,82,88,88,83.1
2012,Total,Total,88.2,96.8,93.7,87.6,90.7,90.8,80.9,83.5,86.2,86.4,78.7,71.6,80.4,86.8,89.9,82.5
2011,Total,Total,87.6,96.5,91.9,87.1,90.9,90.5,80.1,83.4,85.2,85.5,77.4,70.2,79.4,85.5,88.3,79.4
2010,Total,Total,86.6,95.8,88.9,86.2,90,89.8,79.7,82.4,84.6,85,77.2,70.3,79.3,85.3,88.8,79.6
2009,Total,Total,85.2,94.9,86.4,85.1,89.2,89.1,77.7,81.4,83.6,83.7,75.9,68.6,78.1,84.2,90.6,77.2
2008,Total,Total,83.8,94,83.7,83.9,88.4,88,76.3,79.9,82.5,82,74.9,67.8,76.8,82.9,89.8,75.8
2007,Total,Total,83.1,93,81.9,83.3,87.5,87.2,76.2,80,82.4,81.5,74.1,67.1,76.2,81.8,89.8,75.7
