Ano,Localização,Rede,R_EF_Total,R1EF,R2EF,R3EF,4REF,R5EF,R6EF,R7EF,R8EF,R9EF,RTotal - EM,R1EM,R2EM,R3EM,R4EM,RNão-Seriado
2020,Total,Total,0.8,0.4,0.5,0.7,0.5,0.7,1,1.1,1,1.1,2.7,3.2,2.1,2.6,6.3,6.1
2020,Urbana,Total,0.8,0.4,0.5,0.7,0.5,0.6,1.1,1.1,1,1.2,2.7,3.2,2.2,2.6,6.3,6.9
2020,Rural,Total,0.7,0.2,0.3,0.8,0.6,1.1,0.9,0.8,0.7,0.8,2.6,3.2,1.9,2.4,5.2,3.2
2020,Total,Federal,0.8,0.6,0,0.2,0.5,0.1,0.6,1,1.5,0.4,10,15.4,8.3,6.4,6.1,6.8
2020,Urbana,Federal,0.8,0.6,0,0.2,0.5,0.1,0.6,1,1.5,0.4,9.1,14.1,7.7,5.8,6.3,6.2
2020,Rural,Federal,0,--,0,0,0,0,0,0,0,0,15.2,22.7,11.9,9.8,2.8,12.1
2020,Total,Estadual,1.3,0.5,0.5,1.2,0.5,1,1.4,1.5,1.4,1.7,2.8,3.2,2.2,2.9,6.5,6.6
2020,Urbana,Estadual,1.3,0.5,0.5,1.1,0.5,0.9,1.4,1.5,1.4,1.7,2.9,3.3,2.3,3,6.5,8.7
2020,Rural,Estadual,1.1,0.3,0.5,1.5,0.8,1.9,1,1.2,1,1.4,1.6,1.8,1.2,1.8,6.2,1.9
2020,Total,Municipal,0.6,0.2,0.4,0.7,0.5,0.7,0.8,0.8,0.7,0.6,1.3,1.6,1.1,1,0.6,--
2020,Urbana,Municipal,0.6,0.2,0.4,0.7,0.5,0.6,0.8,0.8,0.7,0.6,1.3,1.7,1.2,0.8,0.7,--
2020,Rural,Municipal,0.6,0.1,0.3,0.7,0.6,1,0.8,0.8,0.7,0.7,1.2,0.9,0.2,2.9,0,--
2020,Total,Privada,0.7,1.1,0.8,0.7,0.5,0.6,0.8,0.7,0.7,0.6,0.7,1.1,0.6,0.3,6.6,1.2
2020,Urbana,Privada,0.7,1.1,0.8,0.7,0.5,0.6,0.8,0.7,0.6,0.6,0.7,1.1,0.5,0.3,6.3,1.2
2020,Rural,Privada,1.7,2.2,1.8,1.6,2,1.5,1.9,1.4,1.8,1,2,2.3,1.4,1.5,7,0
2020,Total,Pública,0.8,0.2,0.4,0.7,0.5,0.7,1.1,1.1,1,1.2,3,3.5,2.4,3,6.3,6.7
2020,Urbana,Pública,0.8,0.2,0.4,0.7,0.5,0.6,1.1,1.2,1.1,1.3,3.1,3.5,2.4,3,6.3,7.7
2020,Rural,Pública,0.7,0.1,0.3,0.8,0.6,1.1,0.9,0.8,0.7,0.8,2.6,3.2,1.9,2.4,4.2,3.2
2019,Total,Total,6,1,2.1,8.1,5.3,4.7,10.2,9.1,7.2,5.8,9.1,13.4,8.1,4.5,7.2,10.3
2019,Urbana,Total,5.6,1,2,7.2,4.3,3.8,9.6,8.9,7.1,5.9,9.2,13.6,8.2,4.5,7.2,10
2019,Rural,Total,8.6,1.2,2.7,13,10.6,9.4,14.6,10.7,7.8,4.9,7.5,10.6,6.6,4,6.8,11.5
2019,Total,Federal,4.5,2.2,3.1,3.2,2.2,3.5,4.5,4.9,6.3,5.3,9.8,13.7,9.2,5.7,6.1,9.8
2019,Urbana,Federal,4.6,2.2,3.1,3.2,2.2,3.5,4.5,4.9,6.3,5.3,9.9,13.8,9.4,5.9,6.2,10
2019,Rural,Federal,2.3,0,0,0,0,0,6.7,15.4,0,0,9.1,13.2,8.2,4.9,3.8,6.3
2019,Total,Estadual,6.9,0.6,0.9,7.1,2.9,4.1,9.4,8.9,7.5,7.6,10,14.5,8.8,5,8.3,12.1
2019,Urbana,Estadual,6.8,0.4,0.7,6.8,2.6,3.7,9.3,8.9,7.5,7.6,10.1,14.7,9,5,8.2,12
2019,Rural,Estadual,7.9,2.1,4.2,10.7,7.8,8.6,10.4,8.8,7.2,6.8,7.6,10.6,6.6,4,13.2,12.3
2019,Total,Municipal,7,1.1,2.7,10,6.8,5.7,13.5,11.4,8.4,4.9,7.4,11.5,6.1,3.6,2,14.6
2019,Urbana,Municipal,6.5,1.1,2.7,9.2,5.7,4.7,12.9,11.4,8.6,5.1,7.6,11.7,6.4,3.9,1.9,14.6
2019,Rural,Municipal,8.8,1.1,2.7,13.3,10.9,9.5,15.5,11.2,8,4.4,5.2,9.8,3.1,1,2.7,--
2019,Total,Privada,1.7,1.1,0.9,1.1,1,1.1,2.5,2.9,2.8,2.8,3.4,5.6,2.9,1.2,1.1,1.5
2019,Urbana,Privada,1.7,1.1,0.9,1.1,1,1.1,2.5,2.9,2.8,2.8,3.4,5.6,2.9,1.2,0.5,1.5
2019,Rural,Privada,3,1.2,1.4,4,2.7,3.1,4.5,4.6,3.9,2.5,3.2,4.6,3.1,1.6,2.4,0
2019,Total,Pública,6.9,1,2.4,9.6,6.2,5.4,11.6,10.2,8,6.4,10,14.5,8.8,5,7.4,11.2
2019,Urbana,Pública,6.6,1,2.3,8.8,5.1,4.5,11.1,10.1,8,6.6,10.1,14.7,9,5,7.4,11.1
2019,Rural,Pública,8.7,1.2,2.8,13.1,10.7,9.5,14.7,10.8,7.9,4.9,7.7,10.8,6.7,4,8.4,11.6
2018,Total,Total,7,1.2,2.2,9.4,6.3,5.6,11.7,10.5,8.4,6.9,10.5,15.4,9.4,5.4,7.6,13.9
2018,Urbana,Total,6.6,1.2,2.1,8.5,5.3,4.5,11,10.3,8.3,7.1,10.6,15.6,9.4,5.4,7.9,14.1
2018,Rural,Total,9.7,1.4,2.7,14.4,12.1,11,16.2,12.3,8.8,5.7,8.4,11.8,7.5,4.4,2.6,12.4
2018,Total,Federal,5.3,3.2,4.8,2.8,3.2,2.9,6.6,5.8,6.2,6.4,10.8,15.1,10.3,6.1,6.3,9.7
2018,Urbana,Federal,5.3,3.3,4.8,2.9,3.2,2.8,6.5,5.9,6.3,6.5,10.9,15.2,10.7,6.2,6.5,10.1
2018,Rural,Federal,7.1,0,0,0,7.1,20,27.8,0,0,0,9.9,14.8,8.3,5.9,2.4,5.8
2018,Total,Estadual,8,0.7,1,7.7,3.4,4.4,11,10.3,8.8,8.9,11.5,16.6,10.2,6,8.2,16.4
2018,Urbana,Estadual,8,0.6,0.8,7.4,3,4,11,10.3,8.9,9,11.6,16.9,10.4,6,8.4,16.8
2018,Rural,Estadual,8.7,2.3,4.2,11.5,8.4,9.2,11.8,10.3,7.8,7.2,8.5,11.8,7.7,4.4,3.5,14.2
2018,Total,Municipal,8.1,1.3,2.7,11.8,8.2,6.9,15.1,13.1,9.9,6,8.9,13.2,8.3,4.4,2.8,34.6
2018,Urbana,Municipal,7.6,1.3,2.7,11,7.1,5.7,14.5,13.2,10.1,6.2,9.1,13.5,8.5,4.6,3.1,37.8
2018,Rural,Municipal,9.9,1.3,2.6,14.7,12.4,11.2,17.1,12.8,9.1,5.3,6.7,11.2,5.7,2.1,0.9,4
2018,Total,Privada,1.9,1.3,1,1.2,1.1,1.1,2.6,3.3,3.1,3.1,3.7,6.1,3.2,1.3,6.3,2.5
