Ano,Localização,Rede,R_EF_Total,R1EF,R2EF,R3EF,4REF,R5EF,R6EF,R7EF,R8EF,R9EF,RTotal - EM,R1EM,R2EM,R3EM,R4EM,RNão-Seriado
2020,Total,Total,0.8,0.4,0.5,0.7,0.5,0.7,1,1.1,1,1.1,2.7,3.2,2.1,2.6,6.3,6.1
2019,Total,Total,6,1,2.1,8.1,5.3,4.7,10.2,9.1,7.2,5.8,9.1,13.4,8.1,4.5,7.2,10.3
2018,Total,Total,7,1.2,2.2,9.4,6.3,5.6,11.7,10.5,8.4,6.9,10.5,15.4,9.4,5.4,7.6,13.9
2017,Total,Total,7.4,1.2,2.2,9.7,6.3,5.9,12.7,10.9,8.8,7.5,10.8,15.8,9.6,5.5,7,8.9
2016,Total,Total,8.3,1.3,2.5,10.7,7.2,6.8,14,12.1,10.2,8.6,11.9,17.3,10.7,6,7.3,9.2
2015,Total,Total,8.2,1.4,2.5,10.5,7.2,6.7,13.8,12.2,9.6,8.3,11.5,16.6,10.1,5.9,5.8,8.1
2014,Total,Total,8.6,1.5,2.9,11.1,7.6,7,14.6,12.4,10.3,8.9,12.1,17,11,6.4,6.4,8.3
2013,Total,Total,8.5,1.5,3.3,10.3,7.2,7.3,14,12,9.8,8.9,11.8,16.7,10.5,6.4,5.4,7.4
2012,Total,Total,9.1,1.9,5.1,11.1,7.8,7.5,14.6,12.5,10,9.5,12.2,16.8,11.1,6.9,4.7,7.4
2011,Total,Total,9.6,2.1,6.7,11.4,7.5,7.8,15.2,12.7,10.7,10.3,13.1,18,11.8,7.5,4.2,10
2010,Total,Total,10.3,2.6,9.2,12.1,8.2,8.2,15.2,13.1,10.8,10.4,12.5,17.2,11.1,7.1,4.9,8.8
2009,Total,Total,11.1,3,11,12.8,8.7,8.7,16.5,13.6,11.5,11.1,12.6,17.3,11.3,7.4,3.4,9.2
2008,Total,Total,3.5,12.6,13.5,9.1,9.3,16.9,14.2,11.7,11.7,11.8,16.3,11.1,7.8,3.6,10.4,12.3
2007,Total,Total,4,13.8,13.9,9.6,9.9,16.5,13.6,11.3,11.7,12.1,16.4,11.4,8.8,3.7,11.2,12.7
