Ano,Localização,Rede,R_EF_Total,R1EF,R2EF,R3EF,4REF,R5EF,R6EF,R7EF,R8EF,R9EF,RTotal - EM,R1EM,R2EM,R3EM,R4EM,RNão-Seriado
2020,Urbana,Total,0.8,0.4,0.5,0.7,0.5,0.6,1.1,1.1,1,1.2,2.7,3.2,2.2,2.6,6.3,6.9
2020,Rural,Total,0.7,0.2,0.3,0.8,0.6,1.1,0.9,0.8,0.7,0.8,2.6,3.2,1.9,2.4,5.2,3.2
2019,Urbana,Total,5.6,1,2,7.2,4.3,3.8,9.6,8.9,7.1,5.9,9.2,13.6,8.2,4.5,7.2,10
2019,Rural,Total,8.6,1.2,2.7,13,10.6,9.4,14.6,10.7,7.8,4.9,7.5,10.6,6.6,4,6.8,11.5
2018,Urbana,Total,6.6,1.2,2.1,8.5,5.3,4.5,11,10.3,8.3,7.1,10.6,15.6,9.4,5.4,7.9,14.1
2018,Rural,Total,9.7,1.4,2.7,14.4,12.1,11,16.2,12.3,8.8,5.7,8.4,11.8,7.5,4.4,2.6,12.4
2017,Urbana,Total,7,1.2,2.1,8.8,5.2,4.8,12.1,10.7,8.8,7.8,10.9,16,9.7,5.6,7.2,8.4
2017,Rural,Total,9.7,1.4,2.7,14.5,11.8,11.1,16.5,12,8.6,5.8,8.3,11.6,7.4,4.3,3.6,11.5
2016,Rural,Total,10.7,1.5,3,15.7,13.1,12.4,17.8,13,9.7,6.3,8.6,12.2,7.6,4.3,3.8,11
2016,Urbana,Total,7.9,1.3,2.4,9.7,6,5.7,13.4,12,10.3,8.9,12,17.5,10.8,6.1,7.4,8.9
2015,Urbana,Total,7.8,1.4,2.4,9.6,6,5.6,13.3,12.2,9.7,8.6,11.6,16.8,10.2,6,5.8,7.8
2015,Rural,Total,10.2,1.3,3.1,15,12.8,12,17.1,12.5,8.9,5.6,8.3,12,7.3,4,4.3,10.1
2014,Rural,Total,10.2,1.5,3.5,15,12.7,11.9,17.2,12.3,8.9,5.6,8.7,11.9,7.6,4.7,5,12.9
2014,Urbana,Total,8.4,1.5,2.8,10.3,6.5,6,14.2,12.4,10.5,9.3,12.3,17.2,11.1,6.5,6.4,7.8
