#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
"2012";"AC";"ACRELANDIA";"MUNICIPAL";"CRECHE";22848,00
"2012";"AC";"ACRELANDIA";"MUNICIPAL";"EJA";8580,00
"2012";"AC";"ACRELANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";106620,00
"2012";"AC";"ACRELANDIA";"MUNICIPAL";"PRÉ-ESCOLA";36120,00
"2012";"AC";"ASSIS BRASIL";"MUNICIPAL";"CRECHE";16800,00
"2012";"AC";"ASSIS BRASIL";"MUNICIPAL";"EJA";3600,00
"2012";"AC";"ASSIS BRASIL";"MUNICIPAL";"ENSINO FUNDAMENTAL";62340,00
"2012";"AC";"ASSIS BRASIL";"MUNICIPAL";"PRÉ-ESCOLA";25704,00
"2012";"AC";"BRASILEIA";"MUNICIPAL";"CRECHE";29904,00
"2012";"AC";"BRASILEIA";"MUNICIPAL";"EJA";9420,00
"2012";"AC";"BRASILEIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";276540,00
"2012";"AC";"BRASILEIA";"MUNICIPAL";"ENSINO MÉDIO";78240,00
"2012";"AC";"BRASILEIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";3600,00
"2012";"AC";"BRASILEIA";"MUNICIPAL";"PRÉ-ESCOLA";54852,00
"2012";"AC";"BUJARI";"MUNICIPAL";"CRECHE";21672,00
"2012";"AC";"BUJARI";"MUNICIPAL";"EJA";3480,00
"2012";"AC";"BUJARI";"MUNICIPAL";"ENSINO FUNDAMENTAL";62100,00
"2012";"AC";"BUJARI";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";51600,00
"2012";"AC";"BUJARI";"MUNICIPAL";"PRÉ-ESCOLA";24024,00
"2012";"AC";"CAPIXABA";"MUNICIPAL";"EJA";11100,00
"2012";"AC";"CAPIXABA";"MUNICIPAL";"ENSINO FUNDAMENTAL";97020,00
"2012";"AC";"CAPIXABA";"MUNICIPAL";"PRÉ-ESCOLA";24696,00
"2012";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"CRECHE";208992,00
"2012";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"EJA";45240,00
"2012";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ENSINO FUNDAMENTAL";355620,00
