#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
"2015";"AC";"ACRELANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3400,00
"2015";"AC";"ACRELANDIA";"MUNICIPAL";"CRECHE";54000,00
"2015";"AC";"ACRELANDIA";"MUNICIPAL";"EJA";1800,00
"2015";"AC";"ACRELANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";104400,00
"2015";"AC";"ACRELANDIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";64008,00
"2015";"AC";"ACRELANDIA";"MUNICIPAL";"PRÉ-ESCOLA";44200,00
"2015";"AC";"ASSIS BRASIL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2100,00
"2015";"AC";"ASSIS BRASIL";"MUNICIPAL";"EJA";1020,00
"2015";"AC";"ASSIS BRASIL";"MUNICIPAL";"ENSINO FUNDAMENTAL";61860,00
"2015";"AC";"ASSIS BRASIL";"MUNICIPAL";"PRÉ-ESCOLA";39700,00
"2015";"AC";"BRASILEIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";6800,00
"2015";"AC";"BRASILEIA";"MUNICIPAL";"CRECHE";45200,00
"2015";"AC";"BRASILEIA";"MUNICIPAL";"EJA";8880,00
"2015";"AC";"BRASILEIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";134700,00
"2015";"AC";"BRASILEIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";120624,00
"2015";"AC";"BRASILEIA";"MUNICIPAL";"PRÉ-ESCOLA";69400,00
"2015";"AC";"BUJARI";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";240,00
"2015";"AC";"BUJARI";"MUNICIPAL";"CRECHE";7160,00
"2015";"AC";"BUJARI";"MUNICIPAL";"EJA";1536,00
"2015";"AC";"BUJARI";"MUNICIPAL";"ENSINO FUNDAMENTAL";12792,00
"2015";"AC";"BUJARI";"MUNICIPAL";"PRÉ-ESCOLA";6620,00
"2015";"AC";"CAPIXABA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2200,00
"2015";"AC";"CAPIXABA";"MUNICIPAL";"EJA";16500,00
"2015";"AC";"CAPIXABA";"MUNICIPAL";"ENSINO FUNDAMENTAL";103000,00
"2015";"AC";"CAPIXABA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";14520,00
"2015";"AC";"CAPIXABA";"MUNICIPAL";"PRÉ-ESCOLA";31900,00
"2015";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";25000,00
"2015";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"CRECHE";304200,00
"2015";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"EJA";28560,00
"2015";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ENSINO FUNDAMENTAL";372240,00
"2015";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";122088,00
"2015";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"PRÉ-ESCOLA";282400,00
"2015";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";1700,00
"2015";"AC";"EPITACIOLANDIA";"MUNICIPAL";"CRECHE";33200,00
"2015";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";93960,00
"2015";"AC";"EPITACIOLANDIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";39960,00
"2015";"AC";"EPITACIOLANDIA";"MUNICIPAL";"PRÉ-ESCOLA";45300,00
"2015";"AC";"FEIJO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";4000,00
"2015";"AC";"FEIJO";"MUNICIPAL";"EJA";12660,00
"2015";"AC";"FEIJO";"MUNICIPAL";"ENSINO FUNDAMENTAL";215120,00
"2015";"AC";"FEIJO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";112080,00
"2015";"AC";"FEIJO";"MUNICIPAL";"PRÉ-ESCOLA";107300,00
"2015";"AC";"JORDAO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3900,00
"2015";"AC";"JORDAO";"MUNICIPAL";"CRECHE";42000,00
"2015";"AC";"JORDAO";"MUNICIPAL";"EJA";11640,00
"2015";"AC";"JORDAO";"MUNICIPAL";"ENSINO FUNDAMENTAL";107580,00
"2015";"AC";"JORDAO";"MUNICIPAL";"ENSINO MÉDIO";29680,00
"2015";"AC";"JORDAO";"MUNICIPAL";"INDÍGENA";113400,00
"2015";"AC";"JORDAO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";82200,00
"2015";"AC";"JORDAO";"MUNICIPAL";"PRÉ-ESCOLA";17200,00
"2015";"AC";"MANCIO LIMA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";4100,00
"2015";"AC";"MANCIO LIMA";"MUNICIPAL";"CRECHE";73400,00
"2015";"AC";"MANCIO LIMA";"MUNICIPAL";"EJA";19560,00
"2015";"AC";"MANCIO LIMA";"MUNICIPAL";"ENSINO FUNDAMENTAL";141420,00
"2015";"AC";"MANCIO LIMA";"MUNICIPAL";"INDÍGENA";13000,00
"2015";"AC";"MANCIO LIMA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";90000,00
"2015";"AC";"MANCIO LIMA";"MUNICIPAL";"PRÉ-ESCOLA";76100,00
"2015";"AC";"MANOEL URBANO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";500,00
"2015";"AC";"MANOEL URBANO";"MUNICIPAL";"CRECHE";25800,00
"2015";"AC";"MANOEL URBANO";"MUNICIPAL";"EJA";8100,00
"2015";"AC";"MANOEL URBANO";"MUNICIPAL";"ENSINO FUNDAMENTAL";85440,00
"2015";"AC";"MANOEL URBANO";"MUNICIPAL";"PRÉ-ESCOLA";31400,00
"2015";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"CRECHE";67600,00
"2015";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"EJA";23460,00
"2015";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"ENSINO FUNDAMENTAL";249000,00
"2015";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"INDÍGENA";66120,00
"2015";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";223272,00
"2015";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - INDÍGENA";14724,00
"2015";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"PRÉ-ESCOLA";48300,00
"2015";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";4200,00
"2015";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"CRECHE";6400,00
"2015";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"EJA";18780,00
"2015";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"ENSINO FUNDAMENTAL";102000,00
"2015";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";81528,00
"2015";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"PRÉ-ESCOLA";61400,00
"2015";"AC";"PORTO ACRE";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";700,00
"2015";"AC";"PORTO ACRE";"MUNICIPAL";"EJA";2220,00
"2015";"AC";"PORTO ACRE";"MUNICIPAL";"ENSINO FUNDAMENTAL";82020,00
"2015";"AC";"PORTO ACRE";"MUNICIPAL";"PRÉ-ESCOLA";59600,00
"2015";"AC";"PORTO WALTER";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2200,00
"2015";"AC";"PORTO WALTER";"MUNICIPAL";"CRECHE";9000,00
"2015";"AC";"PORTO WALTER";"MUNICIPAL";"EJA";10320,00
"2015";"AC";"PORTO WALTER";"MUNICIPAL";"ENSINO FUNDAMENTAL";156780,00
"2015";"AC";"PORTO WALTER";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";34200,00
